month_name,SKU Code,Qty
April,571931,13
April,571932,28
April,571933,50
April,571935,3
April,571939,35
April,571941,23
April,571942,11
April,571945,59
April,571947,29
April,571949,16
April,572025,43
April,572034,47
April,572038,1
April,572042,10
April,572044,3
April,572048,132
April,572049,1
April,572051,2
April,572053,38
April,572054,1
April,572055,28
April,572056,36
April,572057,16
April,572058,10
April,572059,10
April,572060,1
April,572061,31
April,572063,30
April,572075,5
April,572076,2
April,572077,4
April,572078,3
April,572280,7
April,572281,3
April,572282,23
April,572283,36
April,572284,6
April,572285,5
April,572286,4
April,572287,5
April,572288,4
April,572289,1
April,572291,1
April,572293,2
April,572295,2
April,572296,11
April,572297,3
April,572322,25
April,572323,20
April,572324,3
April,572325,2
April,572326,3
April,572327,27
April,572346,1
April,572349,1
April,572351,1
April,572368,13
April,572509,1
April,572511,1
April,572513,1
April,572514,1
April,572516,32
April,572517,55
April,572518,23
April,572519,32
April,572520,79
April,572521,54
April,572522,1
April,572523,2
April,572526,45
April,572530,1
April,572537,1
April,572547,14
April,572548,18
April,572549,3
April,572550,34
April,572551,1
April,572553,19
April,572578,23
April,572579,26
April,572580,7
April,572912,1
April,572914,1
April,573030,22
April,573031,21
April,573032,1
April,573033,18
April,573034,4
April,573035,3
April,573036,5
April,573037,3
April,573038,6
April,573039,3
April,573324,4
April,573325,3
April,573326,10
April,573327,4
April,573328,6
April,573329,13
April,573330,2
April,573331,30
April,573332,6
April,573333,6
April,573335,14
April,573336,12
April,573337,7
April,573338,26
April,573339,2
April,573340,42
April,573341,5
April,573342,10
April,573343,17
April,573344,3
April,573345,7
April,573346,6
April,573347,8
April,573348,18
April,573494,3
April,573495,4
April,573497,2
April,573498,2
April,573499,4
April,573502,2
April,573503,5
April,573509,3
April,573556,2
April,573557,19
April,573558,4
April,573559,54
April,573560,22
April,573561,41
April,573562,7
April,573563,16
April,573564,24
April,573565,12
April,573566,10
April,573567,1
April,573570,1
April,573573,3
April,573574,4
April,573578,10
April,573579,12
April,573580,34
April,573581,60
April,573582,8
April,573583,2
April,573584,4
April,573610,2
April,573611,14
April,573612,2
April,573613,8
April,573614,8
April,573615,24
April,573616,3
April,573617,1
April,573705,2
April,573706,5
April,573708,78
April,573709,2
April,573741,14
April,573742,20
April,573743,20
April,573744,26
April,573745,17
April,573746,29
April,573747,14
April,573748,39
April,573749,28
April,573750,17
April,573792,7
April,573793,2
April,573794,2
April,573795,2
April,573797,2
April,573798,3
April,573829,4
April,573830,8
April,573831,2
April,573832,3
April,573833,1
April,573836,3
April,573837,1
April,573838,1
April,573839,2
April,573840,2
April,574095,5
April,574096,7
April,574097,6
April,574098,23
April,574099,12
April,574100,23
April,574101,5
April,574102,16
April,574103,14
April,574104,6
April,574105,63
April,574106,82
April,574107,10
April,574108,5
April,574109,6
April,574110,2
April,574111,3
April,574112,3
April,574113,12
April,574114,7
April,574115,8
April,574116,5
April,574117,3
April,574118,6
April,574310,3
April,574311,11
April,574312,6
April,574313,4
April,574314,11
April,574315,4
April,574549,1
April,574550,6
April,574551,1
April,574552,1
April,574553,9
April,574554,1
April,574555,3
April,574742,45
April,574743,55
April,574744,52
April,574745,76
April,574746,50
April,574750,1
April,574751,1
April,574754,2
April,574755,24
April,574756,4
April,574757,13
April,574758,7
April,574759,8
April,574760,14
April,574761,10
April,574762,26
April,574763,3
April,574764,41
April,574765,13
April,574766,12
April,574864,22
April,575052,3
April,575053,5
April,575054,3
April,575055,4
April,575056,4
April,575057,2
April,575058,3
April,575061,3
April,575065,7
April,575068,1
April,575070,2
April,575072,2
April,575073,1
April,575074,5
April,575075,4
April,575076,1
April,575084,4
April,575085,2
April,575086,5
April,575087,2
April,575088,3
April,575090,3
April,575091,10
April,575093,3
April,575094,1
April,575095,1
April,575096,10
April,575097,3
April,575098,4
April,575099,4
April,575101,16
April,575102,4
April,575103,35
April,575104,1
April,575105,4
April,575106,8
April,575848,2
April,575850,3
April,575852,10
April,575853,2
April,575854,3
April,575855,10
April,575858,2
April,575860,5
April,575861,5
April,575862,1
April,575863,8
April,575864,6
April,575865,1
April,575866,4
April,575868,6
April,575869,2
April,575872,5
April,575873,9
April,575875,8
April,575876,14
April,575877,2
April,575878,4
April,576393,1
April,576394,1
April,576395,2
April,576396,1
April,576397,2
April,576400,2
April,576401,6
April,576402,4
April,576515,2
April,576516,8
April,576518,17
April,576519,7
April,576520,4
April,576523,4
April,576524,8
April,576525,2
April,576526,11
April,576745,1
April,576852,6
April,576855,3
April,576857,1
April,576858,1
April,576859,1
April,576860,1
April,576861,6
April,576862,9
April,576863,5
April,576864,5
April,576865,3
April,576866,1
April,576867,4
April,576868,15
April,576869,5
April,576871,10
April,576872,1
April,576873,9
April,576874,2
April,576876,1
April,576878,3
April,576879,1
April,576880,4
April,576881,1
April,576882,7
April,576883,11
April,576886,2
April,576887,10
April,576888,1
April,576889,6
April,576890,10
April,576892,3
April,576893,25
April,576894,5
April,576895,2
April,576896,5
April,576897,20
April,576898,3
April,576899,14
August,506150,165
August,506152,43
August,506153,52
August,506154,63
August,506172,101
August,506173,138
August,506280,356
August,506527,105
August,508804,10
August,508808,1
August,508811,11
August,508812,12
August,508813,28
August,508824,20
August,508825,38
August,508836,13
August,508839,8
August,508840,9
August,508848,8
August,510292,15
August,517693,16
August,518228,27
August,518243,17
August,518445,38
August,518536,1
August,518538,26
August,522192,29
August,522342,24
August,522628,6
August,523309,5
August,524361,21
August,526208,45
August,526307,12
August,526308,46
August,526309,8
August,526310,11
August,526584,117
August,526586,42
August,527097,23
August,527495,44
August,527497,16
August,528193,21
August,528194,12
August,528201,4
August,528202,8
August,528814,28
August,528815,40
August,529488,6
August,529497,15
August,530297,175
August,530298,147
August,530299,211
August,530302,165
August,530343,98
August,530344,79
August,530345,35
August,531179,55
August,531219,36
August,531221,4
August,531222,6
