SKU_Code,Product_Name,Brand,Category,Train_Days,Test_Days,Actual_Total,Forecast_Total,MAE,MAPE,Accuracy
506153,LAK 9TO5 FLAWLESS MATTE MELON,Lakme,MAKEUP,193,23,58.0,66.69424230755082,1.2874556288540133,4921.769583014525,0.0
553858,PONDS SUPER LIGHT GEL 49G,Ponds,SKIN,203,22,44.0,51.33530201640111,1.0430739354127911,3697.505584474086,0.0
545189,LAKME 9TO5 P+M COMPACT SILAKMEY GOLDEN9G,Lakme,MAKEUP,200,23,42.0,54.45345450340101,1.0746339531207214,3879.65144061995,0.0
538746,LAK ABS GLS ARTIST BLACK 2.5M,Lakme,MAKEUP,194,24,64.0,77.40428399770056,1.5640908505463749,5219.194768016828,0.0
571379,VASELINE GLUTA HYA RAIDANCE GLOW 200ML,Vaseline,SKIN,192,24,65.0,97.72397198101082,1.7530349184348355,6739.309041989029,0.0
530344,LAK ABS MATTE 16H 03GOLD MED,Lakme,MAKEUP,191,24,56.0,83.04471506000833,1.7045377645043667,5008.215034232559,0.0
545230,LAKME CC HONEY 30G,Lakme,SKIN,207,24,76.0,81.7586968395715,1.8097012722349286,5621.751378011884,0.0
570974,SIMPLE VITC CLAY SCRUB150G,Simple,SKIN,144,30,129.0,73.09917245924626,2.1383098136527594,50.06208832561839,49.93791167438161
568975,VASELINE LIP TINS ORIGINAL 17G,Vaseline,SKIN,196,25,51.0,63.40050705969149,0.9791138084022043,3236.245195628506,0.0
506154,LAK 9TO5 FLAWLESS MATTE ALMND,Lakme,MAKEUP,189,20,48.0,62.830450350989246,1.5471474060459294,6724.370917637104,0.0
568974,VASELINE LIP TINS COCOA BUTTER 17G,Vaseline,SKIN,167,25,82.0,100.33131840912274,1.5464484066878141,4652.382138380054,0.0
571259,LAKME TRUEWEAR COLOR CRUSH 525,Lakme,MAKEUP,187,21,48.0,76.78923041838115,1.6129887939579726,7132.853541268112,0.0
569803,LAKME ABSOL PERFECT RADIANCE SERUM 15ML,Lakme,SKIN,188,27,87.0,85.02832936645993,1.693628196750591,3294.4334031610156,0.0
545187,LAKME 9TO5 P+M COMPACT IVORY CREAM9G,Lakme,MAKEUP,182,23,51.0,54.50551059769332,1.2796268887075963,4335.6170428491405,0.0
573748,LAKME ULTIMATEGLAMCHROMENAIL PINK6ML,Lakme,MAKEUP,185,28,88.0,94.18139686508952,1.4559116192424915,1740.4136694927668,0.0
570292,TRES GLOSS ULTIMATE HAIR SERUM 50ML,TRESEMME,HAIR CARE,187,30,72.0,84.73235780353194,1.1312442961447267,75.8680864962285,24.1319135037715
574105,LAKME MU+SC VITC SG SP MAKEUP FIXER 60ML,Lakme,MAKEUP,186,27,76.0,51.948011560458305,1.2844160270042835,1603.738493628414,0.0
568960,LAKME LUMI CREAM SKIN 60G,Lakme,SKIN,180,27,65.0,67.84598583304603,1.099072817191047,2033.6186758746287,0.0
574744,TRESEMME HAIRFALL DEFENSE+ SHAMPOO 580M,TRESEMME,HAIR CARE,169,23,57.0,88.05055170290653,1.7439004140452574,5888.602825760533,0.0
572048,LAKME EYECONIC PRO BRUSH LINER 1.2G,Lakme,MAKEUP,129,24,77.0,28.796606612296344,2.52115921185559,2954.0395485652857,0.0
574743,DOVE HAIR FALL RESCUE SHAMPOO 650 ML,DOVE,HAIR CARE,168,24,65.0,61.89677574909574,1.285868565045008,3922.0404873093835,0.0
554290,LAKME 9TO5 P+M FDN W240 WARM BEIGE 25ML,Lakme,MAKEUP,168,27,71.0,54.97596440107024,1.222266299749331,1546.4382779678908,0.0
